类型,ID,章节,难度,题目内容,行号
练习题,4.3-1,第4章 递归式,normal,用主方法来给出下列递归式紧确的渐近界： a) $T(n) = 4T(n / 2) + n $b) $T(n) = 4T(n / 2) + n^2 $c) $T(n) = 4T(n / 2) + n^3...,2317
练习题,4.3-2,第4章 递归式,normal,某个算法 $A $的运行时间由递归式 $T(n) = 7T(n / 2) + n^2 $表示；另一个算法 $A' $的运行时间为 $T'(n) = aT'(n / 4) + n^2 $。若要 $A' ...,2323
练习题,4.3-3,第4章 递归式,normal,用主方法证明二分查找递归 $T(n) = T(n / 2) + \Theta(1) $的解是 $T(n) = \Theta(\lg n) $。（二分查找的描述见练习2.3-5）,2324
练习题,4.3-4,第4章 递归式,normal,主方法能否应用于递归式 $T(n) = 4T(n / 2) + n^2 \lg n $? 为什么? 给出此递归式的渐近上界。,2325
练习题,*4.3-5,第4章 递归式,hard,考虑在某个常数 $c < 1 $时的规则性条件 $a f(n / b) \leqslant c f(n) $，此条件是主定理第三种情况的一部分。举一个常数 $a \geqslant 1 $， $b >...,2326
练习题,*4.4-1,第4章 递归式,hard,在方程(4.12)中，若 $b $是个正整数而不是任意实数时，请给出 $n_j $的一个简单而准确的表达式。,2556
练习题,*4.4-2,第4章 递归式,hard,证明：若 $f(n) = \Theta (n^{\log_a a} \lg^k n) $，其中 $k \geqslant 0 $，则主定理中递归式的解为 $T(n) = \Theta (n^{\log...,2557
练习题,*4.4-3,第4章 递归式,hard,"在主定理的情况 3) 中, 条件 $a f(n / b) \leqslant c f(n) $, $c < 1 $隐含着存在常数 $\varepsilon > 0 $使 $f(n) = $84 $\O...",2558
练习题,5.1-1,第5章 概率分析和随机算法,normal,证明：假设在程序HIRE-ASSISTANT的第4行中，我们总是能够决定哪一个应聘者最佳，这就蕴含我们知道应聘者排名的总次序。,2750
练习题,*5.1-2,第5章 概率分析和随机算法,hard,"描述 RANDOM(a, b) 过程的一种实现，它只调用 RANDOM(0, 1)。作为 $a $和 $b $的函数，你的程序的期望运行时间是多少？",2751
练习题,*5.1-3,第5章 概率分析和随机算法,hard,假设你希望以各 $1/2 $的概率输出 0 和 1。你可以自由使用一个输出 0 或 1 的过程 BIASED-RANDOM。它以概率 $p $输出 1，以概率 $1 - p $输出 0，其中 $0 <...,2752
练习题,5.2-1,第5章 概率分析和随机算法,normal,在HIRE-ASSISTANT中，假设应聘者以随机的顺序出现，正好雇用一次的概率是多少？正好雇用 $n $次的概率又是多少？,2864
练习题,5.2-2,第5章 概率分析和随机算法,normal,在HIRE-ASSISTANT中，假设应聘者以随机的顺序出现，正好雇用两次的概率是多少？,2865
练习题,5.2-3,第5章 概率分析和随机算法,normal,利用指示器随机变量来计算掷 $n $次骰子总和的期望值。,2866
练习题,5.2-4,第5章 概率分析和随机算法,normal,利用指示器随机变量来解帽子保管问题(hat-check problem)：有 $n $位顾客，他们每个人给餐厅负责保管帽子的服务生一顶帽子。服务生以随机的顺序将帽子归还给顾客。请问拿到自己帽子的客户的...,2867
练习题,5.2-5,第5章 概率分析和随机算法,normal,"假设 $A[1..n] $是由 $n $个不同的数构成的数组。如果 $i < j $且 $A[i] > A[j] $，则称 $(i, j) $对为 $A $的逆序对 (inversion)。（思考题 ...",2868
练习题,5.3-1,第5章 概率分析和随机算法,normal,Marceau教授对引理5.5证明过程中使用的循环不变式表示异议。他对在第1次迭代之前循环不变式是否为真提出质疑。他的理由是人们可以容易地宣称空数组不包含0排列。因此空数组包含0排列的概率应该是0，所...,2992
练习题,5.3-2,第5章 概率分析和随机算法,normal,Kelp教授决定写一个过程来随机产生非同一排列 identity permutation)的任意排列。他提出了如下的过程： PERMUTE-WHOUT-IDENTITY(A) 1 $n\gets $l...,2993
练习题,5.3-3,第5章 概率分析和随机算法,normal,假设不是将元素 $A[i] $与子数组 $A[i..n] $中的随机一个元素相交换，而是将它与数组任何位置上的随机元素相交换： PERMUTE-WITH-ALL(A) 1 $n\gets $lengt...,3003
练习题,*5.3-5,第5章 概率分析和随机算法,hard,证明程序 PERMUTE-BY-SORTING 的数组 $P $中，所有元素都唯一的概率至少为 $1 - 1/n $。,3030
练习题,5.3-6,第5章 概率分析和随机算法,normal,解释如何实现算法 PERMUTE-BY-SORTING，来处理两个或更多优先级相同的情况。亦即，即使有两个或更多的优先级相同，你的算法也必须产生一个均匀随机排列。,3031
练习题,5.4-1,第5章 概率分析和随机算法,normal,一个房间里必须要有多少人，才能让某人和你生日相同的概率至少为 $1 / 2 $？必须要有多少人，才能让至少两个人生日为7月4日的概率大于 $1 / 2 $？,3305
练习题,5.4-2,第5章 概率分析和随机算法,normal,假设将球投入到 $b $个盒子里。每一次投掷都是独立的，并且每个球落入任何盒子的机会都相等。在至少有一个盒子包含两个球之前，期望的投球次数是多少？ $\star 5.4-3 $在生日悖论的分析中，要求...,3307
练习题,*5.4-4,第5章 概率分析和随机算法,hard,一个聚会需要邀请多少人，才能让其中很可能有3个人的生日相同？,3311
练习题,*5.4-5,第5章 概率分析和随机算法,hard,在大小为 $n $的集合中，一个 $k $串实际上是一个 $k $排列的概率为多少？这个问题和生日悖论有什么关系？,3313
练习题,*5.4-6,第5章 概率分析和随机算法,hard,假设将 $n $个球投入 $n $个盒子里，每次投球都是独立的，并且每个球落入任何盒子的机会都相等。空盒子的期望数量是多少？正好有一个球的盒子的期望数量又是多少？ 117,3315
练习题,6.1-1,第6章 堆排序,normal,在高度为 $h $的堆中，最多和最少的元素个数是多少？,3478
练习题,6.1-2,第6章 堆排序,normal,证明：含 $n $个元素的堆的高度为 $\lfloor \lg n\rfloor $,3479
练习题,6.1-3,第6章 堆排序,normal,证明：在一个最大堆的某棵子树中，最大元素在该子树的根上。,3480
练习题,6.1-4,第6章 堆排序,normal,在一个最大堆中，假设其所有元素都不相同，那么其最小元素可能存在于堆的哪些地方？,3481
练习题,6.1-5,第6章 堆排序,normal,一个已排好序的数组是一个最小堆吗？,3482
练习题,6.1-6,第6章 堆排序,normal,"序列 $\langle 23, 17, 14, 6, 13, 10, 1, 5, 7, 12 \rangle $是一个最大堆吗？",3483
练习题,6.1-7,第6章 堆排序,normal,证明：当用数组表示存储了 $n $个元素的堆时，叶子结点的下标是 $\lfloor n / 2\rfloor +1 $， $\lfloor n / 2\rfloor +2 $，…， $n $。,3484
练习题,6.2-1,第6章 堆排序,normal,利用图6-2作为范例，图示出MAX-HEAPIFY(A，3)作用于数组 $A = \langle 27 $，17，3，16，13，10，1，5，7，12，4，8，9，0\rangle的过程。,3528
练习题,6.2-2,第6章 堆排序,normal,"由过程 MAX-HEAPIFY 开始，写出进行对应的最小堆操作的 MIN-HEAPIFY(A, i) 过程的伪代码，并比较 MIN-HEAPIFY 与 MAX-HEAPIFY 的运行时间。",3529
练习题,6.2-3,第6章 堆排序,normal,"当元素 $A[i] $比其两子女的值都大时，调用 MAX-HEAPIFY(A, i) 的效果是什么？",3530
练习题,6.2-4,第6章 堆排序,normal,"对 $i > \text{heap-size}[A]/2 $，调用 MAX-HEAPIFY(A, i) 的结果怎样？",3531
练习题,6.2-5,第6章 堆排序,normal,MAX-HEAPIFY的代码效率较高，但第10行中的递归调用可能例外，它可能使某些编译程序产生出低效的代码。请用迭代的控制结构(循环)取代递归结构，从而写一个更为高效的MAX-HEAPIFY。,3532
练习题,6.2-6,第6章 堆排序,normal,证明：对一个大小为 $n $的堆，MAX-HEAPIFY的最坏运行时间为 $\Omega (\lg n) $。（提示：对于 $n $个结点的堆，恰当地设置每个结点的值，使得从根本结点到叶结点的路径上的...,3533
练习题,6.3-1,第6章 堆排序,normal,"模仿图6-3，示出BUILD-MAX-HEAP作用于数组 $A = \langle 5,3,17,10,84,19,6,22,9\rangle $的过程。",3609
练习题,6.3-2,第6章 堆排序,normal,在BUILD-MAX-HEAP的第2行代码中，为什么希望循环下标 $i $从 $\lfloor \text{length}[A] / 2 \rfloor $降到1，而不是从1升到 $\lfloor \...,3610
练习题,6.3-3,第6章 堆排序,normal,证明：在任一含 $n $个元素的堆中，至多有 $\lfloor n / 2^{h + 1}\rfloor $个高度为 $h $的结点。,3611
练习题,6.4-1,第6章 堆排序,normal,"模仿图 6-4，说明 HEAPSORT 在数组 $A = \langle 5, 13, 2, 25, 7, 17, 20, 8, 4 \rangle $上的操作过程。",3667
练习题,6.4-2,第6章 堆排序,normal,讨论在使用如下循环不变式时，HEAPSORT 的正确性：在每次 for 循环 $2 \sim 5 $行的迭代开始时，子数组 $A[1..i] $是一个包含了 $A[1..n] $中的 $i $个最小元...,3668
练习题,6.4-3,第6章 堆排序,normal,对一个其所有 $n $个元素已按递增序排列的数组 $A $，堆排序的运行时间是多少？若 $A $的元素呈降序排列呢？,3669
练习题,6.4-4,第6章 堆排序,normal,证明：堆排序的最坏情况运行时间为 $\Omega (n\lg n) $。,3670
练习题,*6.4-5,第6章 堆排序,hard,证明：在所有元素都不相同时，堆排序算法的最佳运行时间是 $\Omega (n\lg n) $。,3671
练习题,6.5-1,第6章 堆排序,normal,"描述对堆 $A = \langle 15, 13, 9, 5, 12, 8, 7, 4, 0, 6, 2, 1 \rangle $执行HEAP-EXTRACT-MAX操作的过程。",3755
练习题,6.5-2,第6章 堆排序,normal,"利用图6-5的堆作为HEAP-INCREASE-KEY的模型，描述在堆 $A = \langle 15, 13, 9, 5, 12, 8, 7, 4, 0, 6, 2, 1\rangle $上执行MA...",3756
练习题,6.5-3,第6章 堆排序,normal,使用最小堆实现最小优先级队列，用伪代码写出HEAP-MINIMUM，HEAP-EXTRACT-MIN、HEAP-DECREASE-KEY和MIN-HEAP-INSERT过程。,3757
练习题,6.5-4,第6章 堆排序,normal,为什么我们在 MAX-HEAP-INSERT 的第 2 行先将关键字的值设置为 $-\infty $，而后又将此关键字增大到所要求的值呢？,3758
练习题,6.5-5,第6章 堆排序,normal,使用以下的循环不变式来论证HEAP-INCREASE-KEY的正确性； 在第 $4\sim 6 $行while循环的每次迭代之初，数组 $A[1..heap-size[A]] $满足最大堆性质，除了一...,3759
练习题,6.5-6,第6章 堆排序,normal,说明如何使用优先级队列来实现一个先进先出队列，另请说明如何用优先级队列来实现栈。（队列和栈的定义见10.1节）,3763
练习题,6.5-8,第6章 堆排序,normal,请给出一个时间为 $O(n \lg k) $、用来将 $k $个已排序链表合并为一个排序链表的算法。此处 $n $为所有输入链表中元素的总数。（提示：用一个最小堆来做 $k $路合并）,3765
练习题,7.1-1,第7章 快速排序,normal,"仿照图7-1，说明PARTITION过程作用于输入数组 $A = \langle 13, 19, 9, 5, 12, 8, 7, 4, 11, 2, 6, 21 \rangle $上的过程。",3894
练习题,7.1-2,第7章 快速排序,normal,当数组 $A[p..r] $中的元素均相同时，PARTITION返回的 $q $值是什么？修改PARTITION，使得当数组 $A[p..r] $中所有元素的值相同时， $q = (p + r)/2 ...,3895
练习题,7.1-3,第7章 快速排序,normal,简要地证明在大小为 $n $的子数组上，PARTITION的运行时间为 $\Theta (n) $。,3896
练习题,7.1-4,第7章 快速排序,normal,应如何修改 QUICKSORT，才能使其按非增序进行排序？,3897
练习题,7.2-1,第7章 快速排序,normal,利用代换法证明：递归式 $T(n) = T(n - 1) + \Theta (n) $的解为 $T(n) = \Theta (n^2) $，如第7.2节开头提到的那样。,3959
练习题,7.2-2,第7章 快速排序,normal,当数组 $A $的所有元素都具有相同值时，QUICKSORT的运行时间是什么？,3960
练习题,7.2-3,第7章 快速排序,normal,证明：当数组 $A $包含不同的元素、且按降序排序时，QUICKSORT 的运行时间为 $\Theta(n^2) $。,3961
练习题,7.2-4,第7章 快速排序,normal,银行经常按照交易时间，来记录有关某一账户的交易情况，但是，很多人却喜欢按照票据号来收到其银行对账单。这是因为，一般人通常都是按照支票的顺序编号来开出支票的，而商人们也通常都是根据支票编号的顺序来送货的...,3962
练习题,7.2-5,第7章 快速排序,normal,假设快速排序的每一层，所做划分的比例都是 $1 - \alpha : \alpha $，其中 $0 < \alpha \leqslant 1 / 2 $是个常数。证明：在对应的递归树中，叶子结点的最小...,3963
练习题,7.3-1,第7章 快速排序,normal,我们为什么要分析一个随机化算法的平均情况性能，而不是其最坏情况性能呢？,3995
练习题,7.3-2,第7章 快速排序,normal,在过程 RANDOMIZED-QUICKSORT 的运行过程中，最坏情况下对随机数产生器 RANDOM 调用了多少次？最佳情况下调用了多少次？以 $\Theta $记号形式给出你的答案。,3996
练习题,7.4-1,第7章 快速排序,normal,证明：在递归式： $ $T (n) = \max _ {0 \leqslant q \leqslant n - 1} (T (q) + T (n - q - 1)) + \Theta (n) $ $中...,4090
练习题,7.4-2,第7章 快速排序,normal,证明：快速排序的最佳情况运行时间为 $\Omega (n\lg n) $,4098
练习题,7.4-3,第7章 快速排序,normal,"证明：在 $q = 0, 1, \dots, n - 1 $区间上，当 $q = 0 $或 $q = n - 1 $时， $q^2 + (n - q - 1)^2 $取得最大值。",4099
练习题,7.4-4,第7章 快速排序,normal,证明：RANDOMIZED-QUICKSORT算法期望的运行时间为 $\Omega (n\lg n) $。,4100
练习题,7.4-5,第7章 快速排序,normal,对插入排序来说，当其输入已“几乎”排好序时，运行时间是很快的。在实践中，可以充分利用这一特点来改善快速排序的运行时间。当在一个长度小于 $k $的子数组上调用快速排序时，让它不做任何排序就返回。当顶层...,4101
练习题,8.1-1,第8章 线性时间排序,normal,在与某种比较排序算法对应的决策树中，一个叶结点最小可能的深度是多少？,4286
练习题,8.1-2,第8章 线性时间排序,normal,不用斯特林近似公式，给出 $\lg (n!) $渐近紧确界。利用A.2节中介绍的技术来求和式 $\sum_{k=1}^{n} \lg k $。,4287
练习题,8.1-3,第8章 线性时间排序,normal,证明：对于长度为 $n $的 $n! $种输入中的至少一半而言，不存在具有线性运行时间的比较排序算法。对 $n! $中的 $1/n $部分而言又怎样呢？ $1/2^n $部分呢？,4288
练习题,8.1-4,第8章 线性时间排序,normal,现有 $n $个元素要排序。该输入序列包含 $n / k $个子序列，每一个包含 $k $个元素。每个子序列中的元素都小于后继子序列中的元素，大于前趋子序列中的元素。这样，只要对各 $n / k $子...,4289
练习题,8.2-1,第8章 线性时间排序,normal,"利用图8-2作为模型，说明COUNTING-SORT在数组 $A = \langle 6,0,2,0,1,3,4,6,1,3,2\rangle $上的处理过程。",4358
练习题,8.2-2,第8章 线性时间排序,normal,证明COUNTING-SORT是稳定的。,4359
练习题,8.2-3,第8章 线性时间排序,normal,在COUNTING-SORT过程中，假设第9行中for循环的首部改写成如下形式： $ $9 \quad \text {f o r} j \leftarrow 1 \text {t o} \operat...,4360
练习题,8.2-4,第8章 线性时间排序,normal,请给出一个算法，使之对于给定的介于0到 $k $之间的 $n $个整数进行预处理，并能在 $O(1) $时间内，回答出输入的整数中有多少个落在区间 $[a..b] $内。你给出的算法的预处理时间应是 ...,4368
练习题,8.3-1,第8章 线性时间排序,normal,仿照图8-3，示出基数排序RADIX-SORT作用于下列英语单词上的过程：COW，DOG，SEA，RUG，ROW，MOB，BOX，TAB，BAR，EAR，TAR，DIG，BIG，TEA，NOW，FOX...,4415
练习题,8.3-2,第8章 线性时间排序,normal,下面的算法中哪些是稳定的：插入排序，合并排序，堆排序和快速排序？给出一个能使任何排序算法都稳定的方法。所给出的方法带来的额外时空开销是多少？,4417
练习题,8.3-3,第8章 线性时间排序,normal,利用归纳法来证明基数排序算法能正常工作。在所给出的证明中，哪个地方要假设中间排序是稳定的？,4419
练习题,8.3-4,第8章 线性时间排序,normal,说明如何在 $O(n) $时间内，对0到 $n^2 -1 $之间的 $_n $个整数进行排序。 173,4421
练习题,8.4-1,第8章 线性时间排序,normal,"仿照图8-4，说明BUCKET-SORT作用于数组 $\mathbf{A} = \langle 0.79, 0.13, 0.16, 0.64, 0.39, 0.20, 0.89, 0.53, 0.71...",4523
练习题,8.4-2,第8章 线性时间排序,normal,桶排序的最坏情况运行时间是什么？如果要在保持其线性运行时间的同时，使最坏情况时间为 $O(n \lg n) $，要对算法做什么样的修改？,4524
练习题,8.4-3,第8章 线性时间排序,normal,设 $X $是一个随机变量，用于表示在将一枚硬币抛掷两次时，正面朝上的次数。 $\operatorname{E}[X^2] $是多少？ $\operatorname{E}^2[X] $是多少？,4525
练习题,*8.4-4,第8章 线性时间排序,hard,"在单位圆中有 $n $个点， $p_i = (x_i, y_i) $，使得 $0 < x_i^2 + y_i^2 \leqslant 1 $， $i = 1, 2, \dots, n $。假设所有点是...",4526
练习题,*8.4-5,第8章 线性时间排序,hard,"一个随机变量 $X $的概率分布函数 $P(x) $定义为 $P(x) = \Pr \{X \leqslant x\} $。假设 $n $个随机变量 $X_{1}, X_{2}, \dots, X_{...",4527
练习题,9.1-1,第9章 中位数和顺序统计学,normal,证明：在最坏情况下，利用 $n + \lceil \lg n \rceil - 2 $次比较，即可找到 $n $个元素中的第2小元素。（提示：同时找最小元素。）,4663
练习题,*9.1-2,第9章 中位数和顺序统计学,hard,证明：在最坏情况下，同时找到 $n $个数字中的最大值和最小值需要 $\lceil 3n / 2 \rceil - 2 $次比较。（提示：考虑有多少个数字可能会是最大值或最小值，然后分析一下每一次比较...,4664
练习题,9.2-1,第9章 中位数和顺序统计学,normal,证明：在 RANDOMIZED-SELECT 中，对长度为 0 的数组，不会进行递归调用。,4745
练习题,9.2-2,第9章 中位数和顺序统计学,normal,"证明：指示器随机变量 $X_{k} $和 $T(\max (k - 1,n - k)) $是独立的。",4746
练习题,9.2-3,第9章 中位数和顺序统计学,normal,写出 RANDOMIZED-SELECT 的一个迭代版本。,4747
练习题,9.2-4,第9章 中位数和顺序统计学,normal,"假设要用 RANDOMIZED-SELECT 来选择数组 $A = \langle 3, 2, 9, 0, 7, 5, 4, 8, 6, 1 \rangle $中的最小元素。给出在 RANDOMIZE...",4748
练习题,9.3-1,第9章 中位数和顺序统计学,normal,在算法 SELECT 中，输入元素被分为每组 5 个元素。如果它们被分为每组 7 个元素，该算法会仍然以线性时间工作吗？证明如果分成每组 3 个元素，SELECT 无法在线性时间内运行。,4803
练习题,9.3-2,第9章 中位数和顺序统计学,normal,"分析 SELECT, 并证明如果 $n \geqslant 140 $, 则至少有 $\lceil n / 4 \rceil $个元素大于中位数的中位数 $x $, 并且至少有 $\lceil n /...",4804
练习题,9.3-3,第9章 中位数和顺序统计学,normal,说明如何才能使快速排序在最坏情况下以 $O(n \lg n) $时间运行。,4805
练习题,*9.3-4,第9章 中位数和顺序统计学,hard,假设对一个含有 $n $个元素的集合，某算法只用比较来确定第 $i $小的元素。证明：无需另外的比较操作，它也能找到比 $i $小的 $i - 1 $个元素和比 $i $大的 $n - i $个元素。,4806
练习题,9.3-5,第9章 中位数和顺序统计学,normal,假设已经有了一个用于求解中位数的“黑箱”子程序，它在最坏情况下需要线性运行时间。写出一个能解决任意顺序统计量的选择问题的线性时间算法。,4807
练习题,9.3-6,第9章 中位数和顺序统计学,normal,对一个含有 $n $个元素的集合来说，所谓 $k $分位数（the kth quantile），就是能把已排序的集合分成 $k $个大小相等的集合的 $k - 1 $个顺序统计量。给出一个能列出某一集...,4808
练习题,9.3-7,第9章 中位数和顺序统计学,normal,给出一个 $O(n) $时间的算法，在给定一个有 $n $个不同数字的集合 $S $以及一个正整数 $k \leqslant n $后，它能确定出 $S $中最接近其中位数的 $k $个数。,4809
